t,Mediana,Média,Desvio Padrão
0.0,0.1,0.10000000000000002,1.3878481749250887e-17
0.01,0.1062630902754117,0.10277653506427455,0.7233148379331436
0.02,0.10578664895976045,0.1039548375003826,1.001081129190053
0.03,0.11232926733487955,0.09960271869742963,1.209182517003619
0.04,0.10042959287268044,0.1071235237688552,1.3619887421653887
0.05,0.11428023895136954,0.09238686686398952,1.4837961548986354
0.06,0.11933903343642499,0.08789067732515882,1.5826278695582559
0.07,0.0936701725470577,0.07933813723678672,1.6534750663424007
0.08,0.0824580867836079,0.06992873643789227,1.6993983948884759
0.09,0.0995033345354045,0.07307922835734061,1.745571878652573
0.1,0.08661397167538505,0.06665269428147033,1.7761020098728746
0.11,0.0714476827451073,0.06278031566376903,1.8014200525959474
0.12,0.07830471565948055,0.05219127257018887,1.823570077497273
0.13,0.07333611695289019,0.0558048589003995,1.8447486377405822
0.14,0.09468193033430605,0.06027000578617425,1.8584560026066823
0.15,0.07660443280107745,0.04930297832210851,1.8802010688754445
0.16,0.0603148843513832,0.043125693945673144,1.8851246287697032
0.17,0.0623071187937905,0.03897175525148382,1.8965265682517178
0.18,0.0484227659249892,0.04262975937252348,1.9055125965629773
0.19,0.03651354933962675,0.03131303620261113,1.9043166989750286
0.2,0.03773629552049475,0.030099285358624252,1.9076572550155262
0.21,0.03388447287369885,0.03594347788957353,1.9077927578287386
0.22,0.057512880944747255,0.037392079970765456,1.9122587596372478
0.23,0.05846782898964105,0.049533432155921625,1.9082202620715767
0.24,0.0503029077357514,0.05189741358898733,1.9040388707495695
0.25,0.058902577224208746,0.04580693264941469,1.9051681045256639
0.26,0.06588951772766245,0.04375944402963554,1.9059082053773848
0.27,0.07743440566132465,0.05558477014803209,1.912441487054225
0.28,0.08202579977918084,0.055182300399698146,1.9084331506888084
0.29,0.10198601811599706,0.05309167095256779,1.8995618934135354
0.3,0.062422148389855096,0.04832443289812171,1.9080570193111392
0.31,0.0720191719762531,0.04479181102288091,1.9066086365855541
0.32,0.06249141854472945,0.03806553415967971,1.9101744214206322
0.33,0.0566130030334645,0.03910872754177142,1.930704424454403
0.34,0.06659794865288604,0.033957915154380826,1.929519894601062
0.35,0.07960346485617556,0.03300196506659386,1.928010627281081
0.36,0.0372217626814863,0.02693416615600582,1.9320939297540705
0.37,0.02863796053038265,0.03143857183184202,1.920107385110762
0.38,0.061657595180712996,0.032473112576084755,1.917626346522534
0.39,0.039135116530936695,0.03491177988231777,1.9268220934370701
0.4,0.030706284185226702,0.04557772045724111,1.9234939863728004
0.41,0.03467622905879895,0.04819431156692732,1.9170300901295894
0.42,0.03489007461551975,0.041890978418447196,1.913439613069963
0.43,0.0341268238085266,0.03561544802319333,1.9135752413474323
0.44,0.014079771924865751,0.032099330031330114,1.89966197116963
0.45,0.00718320511369185,0.03153693997165991,1.8902650752377728
0.46,0.03570143221117805,0.03252581217227315,1.895515506134285
0.47,0.01959797677250635,0.037453895391140066,1.8967069279116882
0.48,0.04248922572199215,0.043709793486891274,1.9037606074335243
0.49,0.0429100939916303,0.045619545560469134,1.9066428210842652
0.5,0.052144227861905895,0.04729657739840326,1.9043538736118106
0.51,0.0455423920143769,0.03814948572634646,1.9082025622300531
0.52,0.03912493839317055,0.028796167581394524,1.9022478129172926
0.53,0.02813919127156405,0.0215191813852152,1.906681074478621
0.54,0.02293063427901875,0.022998987089411067,1.902322593052288
0.55,0.032339755075083396,0.0289363227727425,1.902492247614942
0.56,0.022887731061719402,0.03215317164577434,1.9018355614133258
0.57,0.0359526829277107,0.035125675016786616,1.9044102746701852
0.58,0.04066325252153975,0.027281278804052532,1.9133169046550609
0.59,0.032988035208195446,0.027793369424849727,1.9135458921905908
0.6,0.01904324120242935,0.022961619889402166,1.9141382748729474
0.61,0.05405013302217255,0.021840934646637614,1.9085544729122987
0.62,0.02203396531819535,0.0155893124747434,1.9123373411667015
0.63,-0.00174449551749695,0.016541415925998528,1.9122283952147414
0.64,0.022579059981954502,0.01950993404850114,1.917070441839412
0.65,0.0162314710282867,0.01798019611822253,1.9172570830593665
0.66,0.007251953379783,0.017592216575041026,1.9087184805936321
0.67,0.023051367358756,0.017780175993835586,1.9047684615342992
0.68,0.01717824537252675,0.024303288235868116,1.9069865689051388
0.69,0.0096440297389183,0.020065809099335093,1.9082608331757664
0.7,0.0109779600470978,0.007919713060307266,1.9091516325628075
0.71,0.0200098404355796,0.00966849917637018,1.8971365886061258
0.72,0.02597096638237925,0.005491853215381078,1.8939939531772279
0.73,0.0115557875395545,0.0032770032717381833,1.8917736613010245
0.74,0.0306691985194208,-0.00020330835563472504,1.8945348855539823
0.75,0.0329352183542031,0.007358892767811119,1.9081989273235844
0.76,0.00911398927176235,0.016357400508939714,1.9028271130060948
0.77,0.03400435640990325,0.023768123933957285,1.9153348187357098
